School,From,To,Yrs,Overall Games,Overall Wins,Overall Losses,Overall Ties,Overall Percent,Bowl Games,Bowl Wins,Bowl Losses,Bowl Ties,Bowl Percent,SRS,SOS,AP,CC,Notes
Air Force,1957,2014,58,668,354,302,12,0.539,23,10,12,1,0.457,1.1,-0.41,6,3,
Akron,1975,2014,29,331,126,202,3,0.385,1,0,1,0,0,-12.18,-7.55,0,1,
Alabama,1902,2014,111,1202,862,298,42,0.735,61,35,23,3,0.598,13.06,4.05,51,23,W-L-T adjusted to 833-307-41 by NCAA.
Alabama-Birmingham,1996,2014,19,220,85,135,0,0.386,1,0,1,0,0,-7.6,-3.72,0,0,
Alameda Coast Guard,1943,1944,2,15,8,4,3,0.633,0,0,0,0,,-0.16,-5.13,0,0,
Alcorn State,1977,1977,1,11,3,8,0,0.273,0,0,0,0,,-17.1,-9.19,0,0,
Amarillo Field,1944,1944,1,8,5,3,0,0.625,0,0,0,0,,5.1,-1.78,0,0,
Amherst,1877,1906,25,239,108,110,21,0.496,0,0,0,0,,-1.2,-0.2,0,0,
Appalachian State,1972,2014,11,121,55,61,5,0.475,0,0,0,0,,-6.36,-7.3,0,0,
Arizona,1931,2014,81,878,463,392,23,0.54,17,8,8,1,0.5,1.83,0.52,7,6,
Arizona State,1931,2014,81,884,542,324,18,0.623,27,13,13,1,0.5,3.59,-1.58,16,17,
Arkansas,1906,2014,109,1147,659,451,37,0.591,39,13,23,3,0.372,6.93,3.02,28,14,W-L-T adjusted to 660-450-37 by NCAA.
Arkansas State,1974,2014,33,378,160,216,2,0.426,4,2,2,0,0.5,-10.29,-7,0,4,W-L-T adjusted to 150-216-2 by NCAA.
Army,1891,2014,121,1188,647,490,51,0.566,5,3,2,0,0.6,3.54,-0.03,14,0,
Auburn,1902,2014,112,1160,708,409,43,0.629,37,22,13,2,0.622,8.69,4.36,36,7,W-L-T adjusted to 711-407-42 by NCAA.
Ball State,1975,2014,40,458,232,222,4,0.511,7,0,7,0,0,-8.27,-8.04,0,5,
Bates,1901,1905,3,21,10,8,3,0.548,0,0,0,0,,-1.85,-2.2,0,0,
Baylor,1903,2014,109,1136,557,538,41,0.508,20,10,10,0,0.5,2.73,2.7,12,6,W-L-T adjusted to 557-538-40 by NCAA.
Beloit,1894,1905,9,85,39,36,10,0.518,0,0,0,0,,-1.63,-1.71,0,0,
Birmingham-Southern,1920,1924,4,36,16,17,3,0.486,0,0,0,0,,-5.29,-4.68,0,0,
Boise State,1996,2014,19,239,186,53,0,0.778,14,9,5,0,0.643,5.5,-5.13,9,11,
Boston College,1901,2014,80,852,475,363,14,0.566,23,13,10,0,0.565,1.95,-0.16,14,1,
Boston University,1923,1964,20,170,73,90,7,0.45,0,0,0,0,,-6.91,-4.99,1,0,
Bowdoin,1896,1905,7,66,33,30,3,0.523,0,0,0,0,,-3.11,-2.87,0,0,
Bowling Green State,1962,2014,53,589,332,246,11,0.573,10,4,6,0,0.4,-4.59,-7.09,1,7,
Bradley,1949,1951,3,29,14,15,0,0.483,0,0,0,0,,-12.91,-12.75,0,0,
Brigham Young,1922,2014,90,968,545,397,26,0.576,32,13,18,1,0.422,-1.15,-3.31,17,23,
Brown,1878,1981,93,858,431,392,35,0.523,1,0,1,0,0,-2.92,-3.57,0,1,
Bucknell,1888,1946,40,357,168,157,32,0.515,1,1,0,0,1,-3,-2.92,0,0,
Buffalo,1962,2014,25,275,97,174,4,0.36,1,0,1,0,0,-12.38,-7.82,0,1,
Butler,1932,1933,2,15,4,10,1,0.3,0,0,0,0,,-16.48,-10.26,0,0,
Cal State Fullerton,1975,1992,18,205,76,127,2,0.376,1,0,1,0,0,-12.72,-7.22,0,2,W-L-T adjusted to 77-126-2 by NCAA.
Cal State Los Angeles,1969,1971,3,29,3,26,0,0.103,0,0,0,0,,-27.59,-9.75,0,0,
California,1916,2014,99,1064,546,487,31,0.528,21,10,10,1,0.5,5.62,4.21,14,13,W-L-T adjusted to 543-486-31 by NCAA.
California-Santa Barbara,1969,1971,3,32,11,21,0,0.344,0,0,0,0,,-13.35,-7.22,0,0,
Camp Grant,1943,1943,1,10,2,6,2,0.3,0,0,0,0,,8.98,14.38,0,0,
Carlisle,1896,1917,21,252,165,77,10,0.675,0,0,0,0,,8.12,0.81,0,0,
Carnegie Mellon,1910,1940,20,172,84,75,13,0.526,1,0,1,0,0,3.99,1.51,1,0,
Centenary (LA),1930,1941,12,131,69,48,14,0.58,1,0,0,1,0.5,0.22,-1.79,0,0,
Central Florida,1996,2014,19,228,125,103,0,0.548,6,3,3,0,0.5,-2.04,-4.43,2,2,
Central Michigan,1975,2014,40,459,251,197,11,0.559,7,3,4,0,0.429,-7,-8.75,1,7,
Centre,1919,1935,8,74,51,20,3,0.709,3,2,1,0,0.667,9.14,-0.02,0,0,
Chattanooga,1909,1981,22,218,105,100,13,0.511,0,0,0,0,,-5.92,-6.18,0,3,
Chicago,1892,1939,48,466,287,147,32,0.65,0,0,0,0,,7.22,2.86,0,7,
Cincinnati,1954,2014,61,675,324,339,12,0.489,12,6,6,0,0.5,-3.06,-2.55,4,7,
Citadel,1909,1981,65,609,284,304,21,0.484,1,1,0,0,1,-7.47,-6.72,0,1,
Clemson,1902,2014,113,1159,667,448,44,0.594,35,17,18,0,0.486,4.78,1.52,27,16,
Coast Guard,1944,1945,2,17,6,10,1,0.382,0,0,0,0,,-4.68,-1.1,0,0,
Coe,1905,1905,1,9,1,7,1,0.167,0,0,0,0,,-18.57,-4.35,0,0,
Colby,1904,1904,1,7,2,4,1,0.357,0,0,0,0,,-8.02,-1.16,0,0,
Colgate,1905,1981,76,670,363,266,41,0.572,0,0,0,0,,-0.87,-4.01,0,0,
Colorado,1902,2014,113,1116,628,453,35,0.578,28,12,16,0,0.429,4.26,1.31,18,19,
Colorado College,1902,1945,39,296,169,109,18,0.601,0,0,0,0,,-1.35,-4.95,1,2,
Colorado Mines,1902,1937,36,239,98,128,13,0.437,0,0,0,0,,-6.63,-4.64,0,3,
Colorado State,1902,2014,107,1049,491,527,31,0.483,13,6,7,0,0.462,-3.75,-2.95,3,15,W-L-T adjusted to 492-526-31 by NCAA.
Columbia,1870,1981,84,699,282,382,35,0.428,1,1,0,0,1,-4.59,-1.7,2,1,
Connecticut,1979,2014,16,190,88,100,2,0.468,5,3,2,0,0.6,-3.73,-2.86,0,2,
Cornell,1888,1981,93,837,488,317,32,0.602,0,0,0,0,,2.17,-2.21,5,1,
Cornell College,1903,1903,1,9,1,8,0,0.111,0,0,0,0,,-14.48,-2.14,0,0,
Creighton,1927,1942,16,139,61,70,8,0.468,0,0,0,0,,-6.26,-5.08,0,1,
Cumberland,1903,1905,2,13,7,5,1,0.577,0,0,0,0,,5.07,-0.79,0,0,
Dartmouth,1881,1981,93,795,502,258,35,0.653,0,0,0,0,,3.47,-2.84,5,12,
Davidson,1902,1973,66,600,248,312,40,0.447,1,0,1,0,0,-7.33,-5.97,0,1,
Dayton,1956,1976,21,216,78,130,8,0.38,0,0,0,0,,-13.09,-8.45,0,0,
Del Monte Pre-Flight,1943,1943,1,8,7,1,0,0.875,0,0,0,0,,12.87,-6.25,1,0,
Denver,1902,1960,59,520,259,228,33,0.53,2,0,2,0,0,-4.12,-4.91,0,6,
Detroit Mercy,1927,1964,36,338,196,132,10,0.595,0,0,0,0,,0.21,-4.24,0,3,
Dickinson,1889,1910,18,173,84,79,10,0.514,0,0,0,0,,-3.35,-3.71,0,0,
Drake,1900,1985,73,666,316,326,24,0.492,3,2,1,0,0.667,-5.64,-5.74,0,7,
