year,solar power,wind power,hydroelectric power,nuclear power,fossil fuels
1900,6.11E-09,2.64E-08,1.85E-10,1.84E-09,4.59E-09
1901,5.16E-09,2.64E-08,1.48E-10,1.74E-09,4.48E-09
1902,6.89E-09,2.77E-08,2.41E-10,1.45E-09,4.09E-09
1903,7.46E-09,2.60E-08,3.04E-10,2.61E-09,4.77E-09
1904,8.60E-09,2.69E-08,8.84E-10,2.41E-09,6.30E-09
1905,8.24E-09,3.36E-08,1.35E-09,1.88E-09,7.14E-09
1906,8.25E-09,3.74E-08,2.63E-09,1.77E-09,6.10E-09
1907,7.33E-09,3.73E-08,5.04E-09,1.56E-09,5.45E-09
1908,8.75E-09,3.87E-08,8.06E-09,1.36E-09,5.27E-09
1909,7.29E-09,3.81E-08,1.04E-08,1.36E-09,5.35E-09
1910,6.13E-09,4.02E-08,1.46E-08,1.00E-10,8.10E-09
1911,4.79E-09,3.97E-08,1.95E-08,1.00E-10,6.67E-09
1912,4.76E-09,3.30E-08,2.79E-08,1.34E-09,6.53E-09
1913,4.93E-09,2.94E-08,3.53E-08,1.34E-09,6.43E-09
1914,4.12E-09,2.99E-08,4.72E-08,1.34E-09,6.33E-09
1915,3.69E-09,3.16E-08,5.29E-08,1.34E-09,6.85E-09
1916,3.29E-09,2.93E-08,6.81E-08,1.34E-09,6.47E-09
1917,3.97E-09,3.06E-08,7.23E-08,1.82E-09,2.55E-09
1918,5.44E-09,3.17E-08,8.55E-08,1.82E-09,2.25E-09
1919,5.28E-09,3.26E-08,9.18E-08,8.77E-10,1.43E-09
1920,5.53E-09,3.41E-08,1.05E-07,1.11E-09,1.44E-09
1921,6.68E-09,3.47E-08,1.37E-07,1.11E-09,2.58E-09
1922,6.84E-09,3.36E-08,1.50E-07,1.36E-09,8.27E-09
1923,7.39E-09,3.97E-08,1.60E-07,1.36E-09,1.33E-08
1924,7.77E-09,3.92E-08,1.79E-07,7.70E-10,1.42E-08
1925,9.79E-09,3.75E-08,1.88E-07,1.67E-09,1.42E-08
1926,1.15E-08,3.80E-08,2.00E-07,1.38E-09,1.43E-08
1927,1.13E-08,3.79E-08,2.17E-07,1.91E-09,1.45E-08
1928,1.02E-08,3.99E-08,1.98E-07,2.37E-09,1.42E-08
1929,9.87E-09,3.95E-08,2.02E-07,2.12E-09,8.80E-09
1930,9.71E-09,4.01E-08,2.01E-07,2.87E-09,8.08E-09
1931,9.42E-09,4.10E-08,2.05E-07,5.71E-09,7.46E-09
1932,7.59E-09,4.27E-08,2.12E-07,8.93E-09,8.17E-09
1933,6.95E-09,4.01E-08,2.29E-07,9.62E-09,9.07E-09
1934,6.96E-09,4.00E-08,2.19E-07,9.95E-09,8.96E-09
1935,7.39E-09,4.01E-08,2.32E-07,9.71E-09,8.26E-09
1936,1.08E-08,4.41E-08,2.46E-07,1.04E-08,8.73E-09
1937,1.38E-08,4.16E-08,2.82E-07,1.32E-08,9.50E-09
1938,1.56E-08,3.99E-08,3.11E-07,1.17E-08,1.02E-08
1939,1.62E-08,4.20E-08,3.42E-07,8.40E-09,9.68E-09
1940,1.68E-08,4.27E-08,3.61E-07,1.02E-08,8.69E-09
1941,1.81E-08,4.24E-08,4.17E-07,1.84E-08,1.32E-08
1942,2.10E-08,3.95E-08,4.68E-07,2.60E-08,1.32E-08
1943,2.03E-08,3.54E-08,4.92E-07,8.75E-08,1.63E-08
